Date,IWDA
1996-12,1086.9057386401455
1997-01,1129.533312580819
1997-02,1191.893650669865
1997-03,1181.4552212833717
1997-04,1226.2883571454488
1997-05,1297.5652860111898
1997-06,1377.145443194547
1997-07,1480.1930315251905
1997-08,1420.0845559120066
1997-09,1457.495485546674
1997-10,1355.2492491723074
1997-11,1350.3954356843058
1997-12,1403.2748934286656
1998-01,1475.0856881301481
1998-02,1570.9128692492504
1998-03,1642.7773531592882
1998-04,1647.0781476414077
1998-05,1601.147742802311
1998-06,1650.539102311919
1998-07,1651.2689745682887
1998-08,1424.710064857784
1998-09,1381.7950775362035
1998-10,1450.5905250819685
1998-11,1580.8506817728473
1998-12,1647.002760799782
1999-01,1737.5436222371472
1999-02,1746.9611047725446
1999-03,1865.8993320928953
1999-04,1965.4169916700846
